"ISO7046def"
"Dia","P","b_min","dk_theo_max","dk_actual_max","dk_actual_min","k_max","r_max","x_max","s1d_typeH_no","s1d_typeH_m_ref","s1d_typeH_p_min","s1d_typeH_p_max","s1d_typeZ_no","s1d_typeZ_m_ref","s1d_typeZ_p_min","s1d_typeZ_p_max","s2d_typeH_no","s2d_typeH_m_ref","s2d_typeH_p_min","s2d_typeH_p_max","s2d_typeZ_no","s2d_typeZ_m_ref","s2d_typeZ_p_min","s2d_typeZ_p_max"
"M2",0.4,25,4.4,3.8,3.5,1.2,0.5,1.0,"0",1.9,0.9,1.2,"0",1.9,0.95,1.20,"0",1.9,0.9,1.2,"0",1.9,0.95,1.20
"M2.5",0.45,25,5.5,4.7,4.4,1.5,0.6,1.1,"1",2.9,1.4,1.8,"1",2.8,1.48,1.73,"1",2.7,1.25,1.55,"1",2.5,1.22,1.47
"M3",0.5,25,6.3,5.5,5.2,1.65,0.8,1.25,"1",3.2,1.7,2.1,"1",3.0,1.76,2.01,"1",2.9,1.4,1.8,"1",2.8,1.48,1.73
"M3.5",0.6,38,8.2,7.3,6.9,2.35,0.9,1.5,"2",4.4,1.9,2.4,"2",4.1,1.75,2.20,"2",4.1,1.6,2.1,"2",4.0,1.61,2.05
"M4",0.7,38,9.4,8.4,8.0,2.7,1.0,1.75,"2",4.6,2.1,2.6,"2",4.4,2.06,2.51,"2",4.6,2.1,2.6,"2",4.4,2.06,2.51
"M5",0.8,38,10.4,9.3,8.9,2.7,1.3,2.0,"3",5.2,2.7,3.2,"3",4.9,2.60,3.05,"3",4.8,2.3,2.8,"3",4.6,2.27,2.72
"M6",1.0,38,12.6,11.3,10.9,3.3,1.5,2.5,"3",6.8,3.0,3.5,"3",6.6,3.00,3.45,"3",6.6,2.8,3.3,"3",6.3,2.73,3.18
"M8",1.25,38,17.3,15.8,15.4,4.65,2.0,3.2,"4",8.9,4.0,4.6,"4",8.8,4.15,4.60,"4",8.7,3.9,4.4,"4",8.5,3.87,4.32
"M10",1.5,38,20.0,18.3,17.8,5.0,2.5,3.8,"4",10.0,5.1,5.7,"4",9.8,5.19,5.64,"4",9.6,4.8,5.3,"4",9.4,4.78,5.23

"ISO7046length"
"Nominal","Min","Max"
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5

"ISO7046range"
"Dia","Min_L","Max_L"
"M2","3","16"
"M2.5","3","25"
"M3","4","30"
"M3.5","5","35"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","10","80"
"M10","12","80"
