"ISO7047def"
"Dia","P","a_max","b_min","dk_theo_max","dk_actual_max","dk_actual_min","k_max","r_max","rf_ref","x_max","cT_typeH_no","cT_typeH_m_ref","cT_typeH_p_min","cT_typeH_p_max","cT_typeZ_no","cT_typeZ_m_ref","cT_typeZ_p_min","cT_typeZ_p_max","f_max","f_min"
"M1.6",0.35,0.7,25,3.6,3.0,2.7,1,0.4,3,0.9,"0",1.9,0.9,1.2,"0",1.9,0.95,1.20,0.4,0.4
"M2",0.4,0.8,25,4.4,3.8,3.5,1.2,0.5,4,1.0,"0",1.9,0.9,1.2,"0",1.9,0.95,1.20,0.5,0.5
"M2.5",0.45,0.9,25,5.5,4.7,4.4,1.5,0.6,5,1.1,"1",2.9,1.4,1.8,"1",2.8,1.48,1.73,0.6,0.6
"M3",0.5,1.0,25,6.3,5.5,5.2,1.65,0.8,6,1.25,"1",3.2,1.7,2.1,"1",3.0,1.76,2.01,0.7,0.7
"M3.5",0.6,1.2,38,8.2,7.3,6.94,2.35,0.9,8.5,1.5,"2",4.4,1.9,2.4,"2",4.1,1.75,2.20,0.8,0.8
"M4",0.7,1.4,38,9.4,8.4,8.04,2.7,1,9.5,1.75,"2",4.6,2.1,2.6,"2",4.4,2.06,2.51,1,1
"M5",0.8,1.6,38,10.4,9.3,8.94,2.7,1.3,9.5,2.0,"3",5.2,2.7,3.2,"3",4.9,2.60,3.05,1.2,1.2
"M6",1.0,2.0,38,12.6,11.3,10.87,3.3,1.5,12,2.5,"3",6.8,3.0,3.5,"3",6.6,3.00,3.45,1.4,1.4
"M8",1.25,2.5,38,17.3,15.8,15.37,4.65,2,16.5,3.2,"4",8.9,4.0,4.6,"4",8.8,4.15,4.60,2,2
"M10",1.5,3.0,38,20.0,18.3,17.78,5.0,2.5,19.5,3.8,"4",10.0,5.1,5.7,"4",9.8,5.19,5.64,2.3,2.3

"ISO7047length"
"Nominal","Min","Max"
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95

"ISO7047range"
"Dia","Min_L","Max_L"
"M1.6","3","16"
"M2","3","20"
"M2.5","3","25"
"M3","4","30"
"M3.5","5","35"
"M4","5","40"
"M5","6","45"
"M6","8","60"
"M8","10","60"
"M10","12","60"
