"ISO7048def"
"Dia","P","a_max","b_min","dk_max","dk_min","da_max","k_max","k_min","r_min","x_max","cT_typeH_no","cT_typeH_m_ref","cT_typeH_p_min","cT_typeH_p_max","cT_typeZ_no","cT_typeZ_m_ref","cT_typeZ_p_min","cT_typeZ_p_max"
"M2.5",0.45,0.9,25,4.50,4.32,3.1,1.80,1.66,0.1,1.1,"1",2.7,1.20,1.62,"1",2.4,1.10,1.35
"M3",0.5,1.0,25,5.50,5.32,3.6,2.00,1.86,0.1,1.25,"2",3.5,0.86,1.43,"2",3.5,1.22,1.47
"M3.5",0.6,1.2,38,6.00,5.82,4.1,2.40,2.26,0.1,1.5,"2",3.8,1.15,1.73,"2",3.7,1.34,1.80
"M4",0.7,1.4,38,7.00,6.78,4.7,2.60,2.46,0.2,1.75,"2",4.1,1.45,2.03,"2",4.0,1.60,2.06
"M5",0.8,1.6,38,8.50,8.28,5.7,3.30,3.12,0.2,2.0,"2",4.8,2.14,2.73,"2",4.6,2.26,2.72
"M6",1.0,2.0,38,10.00,9.78,6.8,3.90,3.6,0.25,2.5,"3",6.2,2.25,2.86,"3",6.1,2.46,2.92
"M8",1.25,2.5,38,13.00,12.73,9.2,5.00,4.7,0.4,3.2,"3",7.7,3.73,4.36,"3",7.5,3.88,4.34

"ISO7048length"
"Nominal","Min","Max"
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"60",59.05,60.95
"70",69.05,70.95
"80",79.05,80.95

"ISO7048range"
"Dia","Min_L","Max_L"
"M2.5","3","25"
"M3","4","30"
"M3.5","5","35"
"M4","5","40"
"M5","6","50"
"M6","8","60"
"M8","10","80"
