"ISO7380-1def"
"Dia","P","b","da","dk_max","dk_min","d_l","d_s_max","d_s_min","d_w","e","k_max","k_min","r_f_max","r_f_min","r_s","r_t","s_nom","s_max","s_min","t_max","t_min","w_b"
"M3",0.5,18.0,3.6,5.70,5.40,2.6,3.00,2.86,4.97,2.30,1.65,1.40,3.70,3.30,0.10,0.30,2,2.080,2.020,1.20,1.04,0.20
"M4",0.7,20.0,4.7,7.60,7.24,3.8,4.00,3.82,6.66,2.87,2.20,1.95,4.60,4.20,0.20,0.40,2.5,2.580,2.520,1.65,1.30,0.30
"M5",0.8,22.0,5.7,9.50,9.14,5.0,5.00,4.82,8.41,3.44,2.75,2.50,5.75,5.25,0.20,0.45,3,3.080,3.020,2.12,1.56,0.38
"M6",1.0,24.0,6.8,10.50,10.07,6.0,6.00,5.82,9.26,4.58,3.30,3.00,6.15,5.65,0.25,0.50,4,4.095,4.020,2.26,2.08,0.74
"M8",1.25,28.0,9.2,14.00,13.57,7.7,8.00,7.78,12.48,5.72,4.40,4.10,7.95,7.45,0.40,0.70,5,5.140,5.020,3.05,2.60,1.05
"M10",1.5,32.0,11.2,17.50,17.07,10.0,10.00,9.78,15.70,6.86,5.50,5.20,9.80,9.20,0.40,0.70,6,6.140,6.020,3.75,3.12,1.45
"M12",1.75,36.0,13.7,21.00,20.48,12.0,12.00,11.73,18.84,9.15,6.60,6.24,11.20,10.50,0.60,1.10,8,8.175,8.025,4.61,4.16,1.63
"M16",2.0,44.0,17.7,28.00,27.48,16.0,16.00,15.73,25.28,11.43,8.80,8.44,15.30,14.50,0.60,1.10,10,10.175,10.025,6.19,5.20,2.25

"ISO7380-2def"
"Dia","P","b","c_max","c_min","da","dc_max","dc_min","dk_max","dk_min","d_l","dsb_max","dsb_min","dwc","e","k_max","k_min","rf_max","rf_min","s","rt","sd_nom","sd_max","sd_min","t_max","t_min","wb"
"M3",0.5,18.0,0.7,0.55,3.6,6.9,6.32,5.20,4.90,2.6,3.00,2.86,5.69,2.30,1.65,1.40,3.70,3.30,0.10,0.30,2,2.080,2.020,1.20,1.04,0.20
"M4",0.7,20.0,0.8,0.65,4.7,9.4,8.82,7.20,6.84,3.8,4.00,3.82,7.94,2.87,2.20,1.95,4.60,4.20,0.20,0.40,2.5,2.580,2.520,1.65,1.30,0.30
"M5",0.8,22.0,1.0,0.80,5.7,11.8,11.10,8.80,8.44,5.0,5.00,4.82,9.99,3.44,2.75,2.50,5.75,5.25,0.20,0.45,3,3.080,3.020,2.12,1.56,0.38
"M6",1.0,24.0,1.2,1.00,6.8,13.6,12.90,10.00,9.64,6.0,6.00,5.82,11.61,4.58,3.30,3.00,6.15,5.65,0.25,0.50,4,4.095,4.020,2.26,2.08,0.74
"M8",1.25,28.0,1.5,1.25,9.2,17.8,17.10,13.20,12.77,7.7,8.00,7.78,15.39,5.72,4.40,4.10,7.95,7.45,0.40,0.70,5,5.140,5.020,3.05,2.60,1.05
"M10",1.5,32.0,2.0,1.70,11.2,21.9,21.06,16.50,16.07,10.0,10.00,9.78,18.95,6.86,5.50,5.20,9.80,9.20,0.40,0.70,6,6.140,6.020,3.75,3.12,1.45
"M12",1.75,36.0,2.4,2.10,13.7,26.0,25.16,19.40,18.88,12.0,12.00,11.73,22.64,9.15,6.60,6.24,11.20,10.50,0.60,1.10,8,8.175,8.025,4.61,4.16,1.63
"M16",2.0,44.0,2.8,2.50,17.7,34.0,33.00,26.00,25.48,16.0,16.00,15.73,29.70,11.43,8.80,8.44,15.30,14.50,0.60,1.10,10,10.175,10.025,6.19,5.20,2.25

"ISO7380-1length"
"ISO7380-2length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7

"ISO7380-1range"
"ISO7380-2range"
"Dia","Min_L","Max_L"
"M3","6","30"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","12","80"
"M10","16","90"
"M12","20","90"
"M16","25","90"
