"ISO7719def"
"Dia","P","da_max","da_min","dw","e","h_max","h_min","mw","s_max","s_min"
"M5",0.8,5.75,5.0,7.2,8.79,4.9,4.4,3.52,8.0,7.78
"M6",1.0,6.75,6.0,8.88,11.05,5.4,4.9,3.92,10.0,9.78
"M7",1.0,7.75,7.0,9.63,12.12,6.7,6.14,4.91,11.0,10.73
"M8",1.25,8.75,8.0,11.63,14.38,7.1,6.44,5.15,13.0,12.73
"M10",1.5,10.8,10.0,14.63,17.77,9.0,8.04,6.43,16.0,15.73
"M12",1.75,12.96,12.0,16.63,20.03,11.6,10.37,8.3,18.0,17.73
"M14",2.0,15.12,14.0,19.64,23.36,13.2,12.1,9.68,21.0,20.67
"M16",2.0,17.28,16.0,22.49,26.75,15.2,14.1,11.28,24.0,23.67
"M18",2.5,19.44,18.0,24.85,29.56,17.0,15.1,12.08,27.0,26.16
"M20",2.5,21.6,20.0,27.7,32.95,19.0,16.9,13.52,30.0,29.16
"M22",2.5,23.76,22.0,31.35,37.29,21.0,18.1,14.48,34.0,33.0
"M24",3.0,25.92,24.0,33.25,39.55,23.0,20.2,16.16,36.0,35.0
"M27",3.0,29.16,27.0,38.0,45.2,25.3,22.5,18.0,41.0,40.0
"M30",3.5,32.4,30.0,42.75,50.85,26.9,24.3,19.44,46.0,45.0
"M33",3.5,35.64,33.0,46.55,55.37,30.5,27.4,21.92,50.0,49.0
"M36",4.0,38.88,36.0,51.11,60.79,32.5,29.4,23.52,55.0,53.8
"M39",4.0,42.12,39.0,55.86,66.44,35.5,31.8,25.44,60.0,58.8
