"ISO8673def"
"Dia","P","c_max","c_min","da_max","da_min","dw","e","m_max","m_min","mw","s_max","s_min"
"M8",1.0,0.6,0.15,8.75,8.0,11.63,14.38,6.8,6.44,5.15,13.0,12.73
"M10",1.0,0.6,0.15,10.8,10.0,14.63,17.77,8.4,8.04,6.43,16.0,15.73
"M10",1.25,0.6,0.15,10.8,10.0,14.63,17.77,8.4,8.04,6.43,16.0,15.73
"M12",1.25,0.6,0.15,12.96,12.0,16.63,20.03,10.8,10.37,8.3,18.0,17.73
"M12",1.5,0.6,0.15,12.96,12.0,16.63,20.03,10.8,10.37,8.3,18.0,17.73
"M14",1.5,0.6,0.15,15.12,14.0,19.64,23.36,12.8,12.1,9.68,21.0,20.67
"M16",1.5,0.8,0.2,17.28,16.0,22.49,26.75,14.8,14.1,11.28,24.0,23.67
"M18",2.0,0.8,0.2,19.44,18.0,24.85,29.56,15.8,15.1,12.08,27.0,26.16
"M18",1.5,0.8,0.2,19.44,18.0,24.85,29.56,15.8,15.1,12.08,27.0,26.16
"M20",2.0,0.8,0.2,21.6,20.0,27.7,32.95,18.0,16.9,13.52,30.0,29.16
"M20",1.5,0.8,0.2,21.6,20.0,27.7,32.95,18.0,16.9,13.52,30.0,29.16
"M22",2.0,0.8,0.2,23.76,22.0,31.35,37.29,19.4,18.1,14.48,34.0,33.0
"M22",1.5,0.8,0.2,23.76,22.0,31.35,37.29,19.4,18.1,14.48,34.0,33.0
"M24",2.0,0.8,0.2,25.92,24.0,33.25,39.55,21.5,20.2,16.16,36.0,35.0
"M27",2.0,0.8,0.2,29.16,27.0,38.0,45.2,23.8,22.5,18.0,41.0,40.0
"M30",2.0,0.8,0.2,32.4,30.0,42.75,50.85,25.6,24.3,19.44,46.0,45.0
"M33",2.0,0.8,0.2,35.64,33.0,46.55,55.37,28.7,27.4,21.92,50.0,49.0
"M36",3.0,0.8,0.2,38.88,36.0,51.11,60.79,31.0,29.4,23.52,55.0,53.8
"M39",3.0,1.0,0.3,42.12,39.0,55.86,66.44,33.4,31.8,25.44,60.0,58.8
"M42",3.0,1.0,0.3,45.36,42.0,59.95,71.3,34.0,32.4,25.92,65.0,63.1
"M45",3.0,1.0,0.3,48.6,45.0,64.7,76.95,36.0,34.4,27.52,70.0,68.1
"M48",3.0,1.0,0.3,51.84,48.0,69.45,82.6,38.0,36.4,29.12,75.0,73.1
"M52",4.0,1.0,0.3,56.16,52.0,74.2,88.25,42.0,40.4,32.32,80.0,78.1
"M56",4.0,1.0,0.3,60.48,56.0,78.66,93.56,45.0,43.4,34.72,85.0,82.8
"M60",4.0,1.0,0.3,64.8,60.0,83.41,99.21,48.0,46.4,37.12,90.0,87.8
"M64",4.0,1.0,0.3,69.12,64.0,88.16,104.86,51.0,49.1,39.28,95.0,92.8
