"ISO8675def"
"Dia","P","da_max","da_min","dw","e","m_max","m_min","mw","s_max","s_min"
"M8",1.0,8.75,8.0,11.63,14.38,4.0,3.7,2.96,13.0,12.73
"M10",1.0,10.8,10.0,14.63,17.77,5.0,4.7,3.76,16.0,15.73
"M10",1.25,10.8,10.0,14.63,17.77,5.0,4.7,3.76,16.0,15.73
"M12",1.25,12.96,12.0,16.63,20.03,6.0,5.7,4.56,18.0,17.73
"M12",1.5,12.96,12.0,16.63,20.03,6.0,5.7,4.56,18.0,17.73
"M14",1.5,15.12,14.0,19.64,23.36,7.0,6.42,5.14,21.0,20.67
"M16",1.5,17.28,16.0,22.49,26.75,8.0,7.42,5.94,24.0,23.67
"M18",2.0,19.44,18.0,24.85,29.56,9.0,8.42,6.74,27.0,26.16
"M18",1.5,19.44,18.0,24.85,29.56,9.0,8.42,6.74,27.0,26.16
"M20",2.0,21.6,20.0,27.7,32.95,10.0,9.1,7.28,30.0,29.16
"M20",1.5,21.6,20.0,27.7,32.95,10.0,9.1,7.28,30.0,29.16
"M22",2.0,23.76,22.0,31.35,37.29,11.0,9.9,7.92,34.0,33.0
"M22",1.5,23.76,22.0,31.35,37.29,11.0,9.9,7.92,34.0,33.0
"M24",2.0,25.92,24.0,33.25,39.55,12.0,10.9,8.72,36.0,35.0
"M27",2.0,29.16,27.0,38.0,45.2,13.5,12.4,9.92,41.0,40.0
"M30",2.0,32.4,30.0,42.75,50.85,15.0,13.9,11.12,46.0,45.0
"M33",2.0,35.64,33.0,46.55,55.37,16.5,15.4,12.32,50.0,49.0
"M36",3.0,38.88,36.0,51.11,60.79,18.0,16.9,13.52,55.0,53.8
"M39",3.0,42.12,39.0,55.86,66.44,19.5,18.2,14.56,60.0,58.8
"M42",3.0,45.36,42.0,59.95,71.3,21.0,19.7,15.76,65.0,63.1
"M45",3.0,48.6,45.0,64.7,76.95,22.5,21.2,16.96,70.0,68.1
"M48",3.0,51.84,48.0,69.45,82.6,24.0,22.7,18.16,75.0,73.1
"M52",4.0,56.16,52.0,74.2,88.25,26.0,24.7,19.76,80.0,78.1
"M56",4.0,60.48,56.0,78.66,93.56,28.0,26.7,21.36,85.0,82.8
"M60",4.0,64.8,60.0,83.41,99.21,30.0,28.7,22.96,90.0,87.8
"M64",4.0,69.12,64.0,88.16,104.86,32.0,30.4,24.32,95.0,92.8
