"ISO8676def"
"Dia","P","c_max","c_min","dw","e","k_max","k_min","r","s_max","s_min"
"M8",1,0.60,0.15,11.63,14.38,5.45,5.15,0.4,13.00,12.73
"M10",1.25,0.60,0.15,14.63,17.77,6.58,6.22,0.4,16.00,15.73
"M12",1.5,0.60,0.15,16.63,20.03,7.68,7.32,0.6,18.00,17.73
"M14",1.5,0.60,0.15,19.64,23.36,8.98,8.62,0.6,21.00,20.67
"M16",1.5,0.80,0.20,22.49,26.75,10.18,9.82,0.6,24.00,23.67
"M18",2,0.80,0.20,25.34,30.14,11.715,11.285,0.6,27.00,26.67
"M20",2,0.80,0.20,28.19,33.53,12.715,12.285,0.8,30.00,29.67
"M22",2,0.80,0.20,31.71,37.72,14.215,13.785,0.8,34.00,33.38
"M24",2,0.80,0.20,33.61,39.98,15.215,14.785,0.8,36.00,35.38
"M27",2,0.80,0.20,38.00,45.20,17.35,16.65,1.0,41.00,40.00
"M30",2,0.80,0.20,42.75,50.85,19.12,18.28,1.0,46.00,45.00
"M33",2,0.80,0.20,46.55,55.37,21.42,20.58,1.0,50.00,49.00
"M36",3,0.80,0.20,51.11,60.79,22.92,22.08,1.0,55.00,53.80
"M39",3,1.00,0.30,55.86,66.44,25.42,24.58,1.0,60.00,58.80
"M42",3,1.00,0.30,59.95,71.30,26.42,25.58,1.2,65.00,63.10
"M45",3,1.00,0.30,64.70,76.95,28.42,27.58,1.2,70.00,68.10
"M48",3,1.00,0.30,69.45,82.60,30.42,29.58,1.6,75.00,73.10
"M52",4,1.00,0.30,74.20,88.25,33.50,32.50,1.6,80.00,78.10
"M56",4,1.00,0.30,78.66,93.56,35.50,34.50,2.0,85.00,82.80
"M60",4,1.00,0.30,83.41,99.21,38.50,37.50,2.0,90.00,87.80
"M64",4,1.00,0.30,88.16,104.86,40.50,39.50,2.0,95.00,92.80

"ISO8676length"
"Nominal","Min","Max"
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",239.1,240.9
"260",259.1,260.9
"280",279.1,280.9
"300",299.0,301.0
"320",319.0,321.0
"340",339.0,341.0
"360",359.0,361.0
"380",379.0,381.0
"400",398.1,401.1
"420",418.1,421.1
"440",438.1,441.1
"460",458.1,461.1
"480",478.1,481.1
"500",498.1,501.1

"ISO8676range"
"Dia","Min_L","Max_L"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"M14","30","140"
"M16","35","160"
"M18","35","180"
"M20","40","200"
"M22","45","220"
"M24","40","200"
"M27","55","260"
"M30","40","200"
"M33","65","360"
"M36","40","200"
"M39","80","380"
"M42","90","420"
"M45","90","440"
"M48","100","480"
"M52","100","500"
"M56","120","500"
"M60","120","500"
"M64","130","500"
