"ISO8765def"
"Dia","P","b_1","b_2","b_3","c_max","c_min","d_a","d_s_max","d_s_min","d_w","e","k_max","k_min","k_w","l_f","r","s_max","s_min"
"M8",1,22,28,41,0.60,0.15,9.2,8.00,7.78,11.63,14.38,5.45,5.15,3.61,2,0.4,13.00,12.73
"M10",1.25,26,32,45,0.60,0.15,11.2,10.00,9.78,14.63,17.77,6.58,6.22,4.35,2,0.4,16.00,15.73
"M12",1.5,30,36,49,0.60,0.15,13.7,12.00,11.73,16.63,20.03,7.68,7.32,5.12,3,0.6,18.00,17.73
"M14",1.5,34,40,57,0.60,0.15,15.7,14.00,13.73,19.37,23.36,8.98,8.62,6.03,3,0.6,21.00,20.67
"M16",1.5,38,44,57,0.80,0.20,17.7,16.00,15.73,22.49,26.75,10.18,9.82,6.87,3,0.6,24.00,23.67
"M18",2,42,48,61,0.80,0.20,20.2,18.00,17.73,25.34,30.14,11.715,11.285,7.90,3,0.6,27.00,26.67
"M20",2,46,52,65,0.80,0.20,22.4,20.00,19.67,28.19,33.53,12.715,12.285,8.60,4,0.8,30.00,29.67
"M22",2,50,56,69,0.80,0.20,24.4,22.00,21.67,31.71,37.72,14.215,13.785,9.65,4,0.8,34.00,33.38
"M24",2,54,60,73,0.80,0.20,26.4,24.00,23.48,33.61,39.98,15.215,14.785,10.35,4,0.8,36.00,35.38
"M27",2,60,66,79,0.80,0.20,30.4,27.00,26.48,38.00,45.20,17.35,16.65,11.66,6,1.0,41.00,40.00
"M30",2,66,72,85,0.80,0.20,33.4,30.00,29.48,42.75,50.85,19.12,18.28,12.80,6,1.0,46.00,45.00
"M33",2,72,78,91,0.80,0.20,36.4,33.00,32.38,46.55,55.37,21.42,20.58,14.41,6,1.0,50.00,49.00
"M36",3,0,84,97,0.80,0.20,39.4,36.00,35.38,51.11,60.79,22.92,22.08,15.46,6,1.0,55.00,53.80
"M39",3,0,90,103,1.00,0.30,42.4,39.00,38.38,55.86,66.44,25.42,24.58,17.21,6,1.0,60.00,58.80
"M42",3,0,96,109,1.00,0.30,45.6,42.00,41.38,59.95,71.30,26.42,25.58,17.91,8,1.2,65.00,63.10
"M45",3,0,102,115,1.00,0.30,48.6,45.00,44.38,64.70,76.95,28.42,27.58,19.31,8,1.2,70.00,68.10
"M48",3,0,108,121,1.00,0.30,52.6,48.00,47.38,69.45,82.60,30.42,29.58,20.71,10,1.6,75.00,73.10
"M52",4,0,116,129,1.00,0.30,56.6,52.00,51.26,74.20,88.25,33.50,32.50,22.75,10,1.6,80.00,78.10
"M56",4,0,0,137,1.00,0.30,63.0,56.00,55.26,78.66,93.56,35.50,34.50,24.15,12,2.0,85.00,82.80
"M60",4,0,0,145,1.00,0.30,67.0,60.00,59.26,83.41,99.21,38.50,37.50,26.25,12,2.0,90.00,87.80
"M64",4,0,0,153,1.00,0.30,71.0,64.00,63.26,88.16,104.86,40.50,39.50,27.65,13,2.0,95.00,92.80

"ISO8765length"
"nom","min","max"
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",239.1,240.9
"260",259.1,260.9
"280",279.1,280.9
"300",299.0,301.0
"320",319.0,321.0
"340",339.0,341.0
"360",359.0,361.0
"380",379.0,381.0
"400",398.1,401.1
"420",418.1,421.1
"440",438.1,441.1
"460",458.1,461.1
"480",478.1,481.1
"500",498.1,501.1

"ISO8765range"
"Dia","min_L","max_L"
"M8","40","80"
"M10","45","100"
"M12","50","120"
"M14","60","140"
"M16","65","160"
"M18","70","180"
"M20","80","200"
"M22","90","220"
"M24","100","240"
"M27","110","260"
"M30","120","300"
"M33","130","320"
"M36","140","360"
"M39","150","380"
"M42","160","440"
"M45","180","440"
"M48","200","480"
"M52","200","480"
"M56","220","500"
"M60","240","500"
"M64","260","500"
