"Metric_Internal_Thread_D1max_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","D1max_mm"
"1.0","0.2","4H",0.821
"1.0","0.25","4H",0.774
"1.1","0.2","4H",0.921
"1.1","0.25","4H",0.874
"1.2","0.2","4H",1.021
"1.2","0.25","4H",0.974
"1.4","0.2","4H",1.221
"1.4","0.3","4H",1.128
"1.6","0.2","4H",1.421
"1.6","0.35","4H",1.284
"1.8","0.2","4H",1.621
"1.8","0.35","4H",1.484
"2.0","0.25","4H",1.774
"2.0","0.4","4H",1.638
"2.2","0.25","4H",1.974
"2.2","0.45","4H",1.793
"2.5","0.35","4H",2.184
"2.5","0.45","4H",2.093
"3.0","0.35","4H",2.684
"3.0","0.5","4H",2.549
"3.5","0.35","4H",3.184
"3.5","0.6","4H",2.95
"4.0","0.5","4H",3.549
"4.0","0.7","4H",3.354
"4.5","0.5","4H",4.049
"4.5","0.75","4H",3.806
"5.0","0.5","4H",4.549
"5.0","0.8","4H",4.259
"5.5","0.5","4H",5.049
"6.0","0.75","4H",5.306
"6.0","1.0","4H",5.067
"7.0","0.75","4H",6.306
"7.0","1.0","4H",6.067
"8.0","0.75","4H",7.306
"8.0","1.0","4H",7.067
"8.0","1.25","4H",6.817
"9.0","0.75","4H",8.306
"9.0","1.0","4H",8.067
"9.0","1.25","4H",7.817
"10.0","0.75","4H",9.306
"10.0","1.0","4H",9.067
"10.0","1.25","4H",8.817
"10.0","1.5","4H",8.566
"11.0","0.75","4H",10.306
"11.0","1.0","4H",10.067
"11.0","1.5","4H",9.566
"12.0","1.0","4H",11.067
"12.0","1.25","4H",10.817
"12.0","1.5","4H",10.566
"12.0","1.75","4H",10.318
"14.0","1.0","4H",13.067
"14.0","1.5","4H",12.566
"14.0","2.0","4H",12.071
"15.0","1.0","4H",14.067
"15.0","1.5","4H",13.566
"16.0","1.0","4H",15.067
"16.0","1.5","4H",14.566
"16.0","2.0","4H",14.071
"17.0","1.0","4H",16.067
"17.0","1.5","4H",15.566
"18.0","1.0","4H",17.067
"18.0","1.5","4H",16.566
"18.0","2.0","4H",16.071
"18.0","2.5","4H",15.574
"20.0","1.0","4H",19.067
"20.0","1.5","4H",18.566
"20.0","2.0","4H",18.071
"20.0","2.5","4H",17.574
"22.0","1.0","4H",21.067
"22.0","1.5","4H",20.566
"22.0","2.0","4H",20.071
"22.0","2.5","4H",19.574
"24.0","1.0","4H",23.067
"24.0","1.5","4H",22.566
"24.0","2.0","4H",22.071
"24.0","3.0","4H",21.067
"25.0","1.0","4H",24.067
"25.0","1.5","4H",23.566
"25.0","2.0","4H",23.071
"26.0","1.5","4H",24.566
"27.0","1.0","4H",26.067
"27.0","1.5","4H",25.566
"27.0","2.0","4H",25.071
"27.0","3.0","4H",24.067
"28.0","1.0","4H",27.067
"28.0","1.5","4H",26.566
"28.0","2.0","4H",26.071
"30.0","1.0","4H",29.067
"30.0","1.5","4H",28.566
"30.0","2.0","4H",28.071
"30.0","3.0","4H",27.067
"30.0","3.5","4H",26.566
"32.0","1.5","4H",30.566
"32.0","2.0","4H",30.071
"33.0","1.5","4H",31.566
"33.0","2.0","4H",31.071
"33.0","3.0","4H",30.067
"33.0","3.5","4H",29.566
"36.0","1.5","4H",34.566
"36.0","2.0","4H",34.071
"36.0","3.0","4H",33.067
"36.0","4.0","4H",32.045
"38.0","1.5","4H",36.566
"39.0","1.5","4H",37.566
"39.0","2.0","4H",37.071
"39.0","3.0","4H",36.067
"39.0","4.0","4H",35.045
"40.0","1.5","4H",38.566
"40.0","2.0","4H",38.071
"40.0","3.0","4H",37.067
"42.0","1.5","4H",40.566
"42.0","2.0","4H",40.071
"42.0","3.0","4H",39.067
"42.0","4.0","4H",38.045
"42.0","4.5","4H",37.554
"45.0","1.5","4H",43.566
"45.0","2.0","4H",43.071
"45.0","3.0","4H",42.067
"45.0","4.0","4H",41.045
"45.0","4.5","4H",40.554
"48.0","1.5","4H",46.566
"48.0","2.0","4H",46.071
"48.0","3.0","4H",45.067
"48.0","4.0","4H",44.045
"48.0","5.0","4H",43.037
"50.0","1.5","4H",48.566
"50.0","2.0","4H",48.071
"50.0","3.0","4H",47.067
"52.0","1.5","4H",50.566
"52.0","2.0","4H",50.071
