"Metric_Thread_Dia_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","Thread_Mean_Dia_mm","dmax_mm","dmin_mm"
"1.0","0.2","4h",0.982,1.0,0.964
"1.0","0.2","6h",0.972,1.0,0.944
"1.0","0.2","6g",0.955,0.983,0.927
"1.0","0.2","6f",0.96000,0.9760,0.9440
"1.0","0.2","6e",0.95500,0.9660,0.9440
"1.0","0.25","4h",0.979,1.0,0.958
"1.0","0.25","6h",0.9665,1.0,0.933
"1.0","0.25","6g",0.9485,0.982,0.915
"1.0","0.25","6f",0.95600,0.9740,0.9380
"1.0","0.25","6e",0.95100,0.9640,0.9380
"1.1","0.2","4h",1.082,1.1,1.064
"1.1","0.2","6h",1.072,1.1,1.044
"1.1","0.2","6g",1.055,1.083,1.027
"1.1","0.2","6f",1.06000,1.0760,1.0440
"1.1","0.2","6e",1.05500,1.0660,1.0440
"1.1","0.25","4h",1.079,1.1,1.058
"1.1","0.25","6h",1.0665,1.1,1.033
"1.1","0.25","6g",1.0485,1.082,1.015
"1.1","0.25","6f",1.05600,1.0740,1.0380
"1.1","0.25","6e",1.05100,1.0640,1.0380
"1.2","0.2","4h",1.182,1.2,1.164
"1.2","0.2","6h",1.172,1.2,1.144
"1.2","0.2","6g",1.155,1.183,1.127
"1.2","0.2","6f",1.16000,1.1760,1.1440
"1.2","0.2","6e",1.15500,1.1660,1.1440
"1.2","0.25","4h",1.179,1.2,1.158
"1.2","0.25","6h",1.1665,1.2,1.133
"1.2","0.25","6g",1.1485,1.182,1.115
"1.2","0.25","6f",1.15600,1.1740,1.1380
"1.2","0.25","6e",1.15100,1.1640,1.1380
"1.4","0.2","4h",1.382,1.4,1.364
"1.4","0.2","6h",1.372,1.4,1.344
"1.4","0.2","6g",1.355,1.383,1.327
"1.4","0.2","6f",1.36000,1.3760,1.3440
"1.4","0.2","6e",1.35500,1.3660,1.3440
"1.4","0.3","4h",1.376,1.4,1.352
"1.4","0.3","6h",1.3625,1.4,1.325
"1.4","0.3","6g",1.3445,1.382,1.307
"1.4","0.3","6f",1.35050,1.3740,1.3270
"1.4","0.3","6e",1.34550,1.3640,1.3270
"1.6","0.2","4h",1.582,1.6,1.564
"1.6","0.2","6h",1.572,1.6,1.544
"1.6","0.2","6g",1.555,1.583,1.527
"1.6","0.2","6f",1.56000,1.5760,1.5440
"1.6","0.2","6e",1.55500,1.5660,1.5440
"1.6","0.35","4h",1.5735,1.6,1.547
"1.6","0.35","6h",1.5575,1.6,1.515
"1.6","0.35","6g",1.5385,1.581,1.496
"1.6","0.35","6f",1.5235,1.566,1.481
"1.6","0.35","6e",1.53900,1.5620,1.5160
"1.8","0.2","4h",1.782,1.8,1.764
"1.8","0.2","6h",1.772,1.8,1.744
"1.8","0.2","6g",1.755,1.783,1.727
"1.8","0.2","6f",1.76000,1.7760,1.7440
"1.8","0.2","6e",1.75500,1.7660,1.7440
"1.8","0.35","4h",1.7735,1.8,1.747
"1.8","0.35","6h",1.7575,1.8,1.715
"1.8","0.35","6g",1.7385,1.781,1.696
"1.8","0.35","6f",1.7235,1.766,1.681
"1.8","0.35","6e",1.73900,1.7620,1.7160
"2.0","0.25","4h",1.979,2.0,1.958
"2.0","0.25","6h",1.9665,2.0,1.933
"2.0","0.25","6g",1.9485,1.982,1.915
"2.0","0.25","6f",1.95600,1.9740,1.9380
"2.0","0.25","6e",1.95100,1.9640,1.9380
"2.0","0.4","4h",1.97,2.0,1.94
"2.0","0.4","6h",1.9525,2.0,1.905
"2.0","0.4","6g",1.9335,1.981,1.886
"2.0","0.4","6f",1.9185,1.966,1.871
"2.0","0.4","6e",1.92400,1.9620,1.8860
"2.2","0.25","4h",2.179,2.2,2.158
"2.2","0.25","6h",2.1665,2.2,2.133
"2.2","0.25","6g",2.1485,2.182,2.115
"2.2","0.25","6f",2.15600,2.1740,2.1380
"2.2","0.25","6e",2.15100,2.1640,2.1380
"2.2","0.45","4h",2.1685,2.2,2.137
"2.2","0.45","6h",2.15,2.2,2.1
"2.2","0.45","6g",2.13,2.18,2.08
"2.2","0.45","6f",2.115,2.165,2.065
"2.2","0.45","6e",2.11900,2.1580,2.0800
"2.5","0.35","4h",2.4735,2.5,2.447
"2.5","0.35","6h",2.4575,2.5,2.415
"2.5","0.35","6g",2.4385,2.481,2.396
"2.5","0.35","6f",2.4235,2.466,2.381
"2.5","0.35","6e",2.43850,2.4620,2.4150
"2.5","0.45","4h",2.4685,2.5,2.437
"2.5","0.45","6h",2.45,2.5,2.4
"2.5","0.45","6g",2.43,2.48,2.38
"2.5","0.45","6f",2.415,2.465,2.365
"2.5","0.45","6e",2.42400,2.4580,2.3900
"3.0","0.35","4h",2.9735,3.0,2.947
"3.0","0.35","6h",2.9575,3.0,2.915
"3.0","0.35","6g",2.9385,2.981,2.896
"3.0","0.35","6f",2.9235,2.966,2.881
"3.0","0.35","6e",2.93850,2.9620,2.9150
"3.0","0.5","4h",2.9665,3.0,2.933
"3.0","0.5","6h",2.947,3.0,2.894
"3.0","0.5","6g",2.927,2.98,2.874
"3.0","0.5","6f",2.911,2.964,2.858
"3.0","0.5","6e",2.897,2.95,2.844
"3.5","0.35","4h",3.4735,3.5,3.447
"3.5","0.35","6h",3.4575,3.5,3.415
"3.5","0.35","6g",3.4385,3.481,3.396
"3.5","0.35","6f",3.4235,3.466,3.381
"3.5","0.35","6e",3.43850,3.4620,3.4150
"3.5","0.6","4h",3.46,3.5,3.42
"3.5","0.6","6h",3.4375,3.5,3.375
"3.5","0.6","6g",3.4165,3.479,3.354
"3.5","0.6","6f",3.4015,3.464,3.339
"3.5","0.6","6e",3.3845,3.447,3.322
"4.0","0.5","4h",3.9665,4.0,3.933
"4.0","0.5","6h",3.947,4.0,3.894
"4.0","0.5","6g",3.927,3.98,3.874
"4.0","0.5","6f",3.911,3.964,3.858
"4.0","0.5","6e",3.897,3.95,3.844
"4.0","0.7","4h",3.955,4.0,3.91
"4.0","0.7","6h",3.93,4.0,3.86
"4.0","0.7","6g",3.908,3.978,3.838
"4.0","0.7","6f",3.892,3.962,3.822
"4.0","0.7","6e",3.874,3.944,3.804
"4.5","0.5","4h",4.4665,4.5,4.433
"4.5","0.5","6h",4.447,4.5,4.394
"4.5","0.5","6g",4.427,4.48,4.374
"4.5","0.5","6f",4.411,4.464,4.358
"4.5","0.5","6e",4.397,4.45,4.344
"4.5","0.75","4h",4.455,4.5,4.41
"4.5","0.75","6h",4.43,4.5,4.36
"4.5","0.75","6g",4.408,4.478,4.338
"4.5","0.75","6f",4.392,4.462,4.322
"4.5","0.75","6e",4.374,4.444,4.304
"5.0","0.5","4h",4.9665,5.0,4.933
"5.0","0.5","6h",4.947,5.0,4.894
"5.0","0.5","6g",4.927,4.98,4.874
"5.0","0.5","6f",4.911,4.964,4.858
"5.0","0.5","6e",4.897,4.95,4.844
"5.0","0.8","4h",4.9525,5.0,4.905
"5.0","0.8","6h",4.925,5.0,4.85
"5.0","0.8","6g",4.901,4.976,4.826
"5.0","0.8","6f",4.887,4.962,4.812
"5.0","0.8","6e",4.865,4.94,4.79
"5.5","0.5","4h",5.4665,5.5,5.433
"5.5","0.5","6h",5.447,5.5,5.394
"5.5","0.5","6g",5.427,5.48,5.374
"5.5","0.5","6f",5.411,5.464,5.358
"5.5","0.5","6e",5.397,5.45,5.344
"5.5","0.9","4h",5.44400,5.5000,5.3880
"5.5","0.9","6h",5.40000,5.5000,5.3000
"5.5","0.9","6g",5.38800,5.4760,5.3000
"5.5","0.9","6f",5.38100,5.4620,5.3000
"5.5","0.9","6e",5.37100,5.4420,5.3000
"6.0","0.75","4h",5.955,6.0,5.91
"6.0","0.75","6h",5.93,6.0,5.86
"6.0","0.75","6g",5.908,5.978,5.838
"6.0","0.75","6f",5.892,5.962,5.822
"6.0","0.75","6e",5.874,5.944,5.804
