"UN_UNR_Thread_Outer_Dia_Table2_ASME_B1.1"
"Dia","TPI","Series","Class","Thread_Outer_Dia","Major_Max","Major_Min"
"#0",80,"UNF","2A",0.05735,0.0579,0.0568
"#0",80,"UNF","3A",0.0584,,
"#1",64,"UNC","2A",0.0705,0.0724,0.0686
"#1",64,"UNC","3A",0.0711,0.073,0.0692
"#1",72,"UNF","2A",0.07065,0.0724,0.0689
"#1",72,"UNF","3A",0.07125,0.073,0.0695
"#2",56,"UNC","2A",0.08335,0.0854,0.0813
"#2",56,"UNC","3A",0.08395,0.086,0.0819
"#2",64,"UNF","2A",0.0835,0.0854,0.0816
"#2",64,"UNF","3A",0.0841,0.086,0.0822
"#3",48,"UNC","2A",0.09605,0.0983,0.0938
"#3",48,"UNC","3A",0.09675,0.099,0.0945
"#3",56,"UNF","2A",0.09625,0.0983,0.0942
"#3",56,"UNF","3A",0.09695,0.099,0.0949
"#4",40,"UNC","2A",0.10865,0.1112,0.1061
"#4",40,"UNC","3A",0.10945,0.112,0.1069
"#4",48,"UNF","2A",0.10905,0.1113,0.1068
"#4",48,"UNF","3A",0.10975,0.112,0.1075
"#5",40,"UNC","2A",0.12165,0.1242,0.1191
"#5",40,"UNC","3A",0.12245,0.125,0.1199
"#5",44,"UNF","2A",0.1219,0.1243,0.1195
"#5",44,"UNF","3A",0.1226,0.125,0.1202
"#6",32,"UNC","2A",0.1342,0.1372,0.1312
"#6",32,"UNC","3A",0.135,0.138,0.132
"#6",40,"UNF","2A",0.13465,0.1372,0.1321
"#6",40,"UNF","3A",0.13545,0.138,0.1329
"#8",32,"UNC","2A",0.1601,0.1631,0.1571
"#8",32,"UNC","3A",0.161,0.164,0.158
"#8",36,"UNF","2A",0.16045,0.1632,0.1577
"#8",36,"UNF","3A",0.16125,0.164,0.1585
"#10",24,"UNC","2A",0.1854,0.189,0.1818
"#10",24,"UNC","3A",0.1864,0.19,0.1828
"#10",32,"UNF","2A",0.1861,0.1891,0.1831
"#10",32,"UNF","3A",0.187,0.19,0.184
"#12",24,"UNC","2A",0.2114,0.215,0.2078
"#12",24,"UNC","3A",0.2124,0.216,0.2088
"#12",28,"UNF","2A",0.21175,0.215,0.2085
"#12",28,"UNF","3A",0.21275,0.216,0.2095
"#12",32,"UNEF","2A",0.212,0.215,0.209
"#12",32,"UNEF","3A",0.213,0.216,0.21
"1/4",20,"UNC","1A",0.2428,0.2489,0.2367
"1/4",20,"UNC","2A",0.24485,0.2489,0.2408
"1/4",20,"UNC","3A",0.24595,0.25,0.2419
"1/4",28,"UNF","1A",0.2441,0.249,0.2392
"1/4",28,"UNF","2A",0.24575,0.249,0.2425
"1/4",28,"UNF","3A",0.24675,0.25,0.2435
"1/4",32,"UNEF","2A",0.246,0.249,0.243
"1/4",32,"UNEF","3A",0.247,0.25,0.244
"5/16",18,"UNC","1A",0.30475,0.3113,0.2982
"5/16",18,"UNC","2A",0.30695,0.3113,0.3026
"5/16",18,"UNC","3A",0.30815,0.3125,0.3038
"5/16",20,"UN","2A",0.30725,0.3113,0.3032
"5/16",20,"UN","3A",0.30845,0.3125,0.3044
"5/16",24,"UNF","1A",0.3059,0.3114,0.3004
"5/16",24,"UNF","2A",0.3078,0.3114,0.3042
"5/16",24,"UNF","3A",0.3089,0.3125,0.3053
"5/16",28,"UN","2A",0.30825,0.3115,0.305
"5/16",28,"UN","3A",0.30925,0.3125,0.306
"5/16",32,"UNEF","2A",0.3085,0.3115,0.3055
"5/16",32,"UNEF","3A",0.3095,0.3125,0.3065
"3/8",16,"UNC","1A",0.3666,0.3737,0.3595
"3/8",16,"UNC","2A",0.369,0.3737,0.3643
"3/8",16,"UNC","3A",0.3703,0.375,0.3656
"3/8",20,"UN","2A",0.36975,0.3738,0.3657
"3/8",20,"UN","3A",0.37095,0.375,0.3669
"3/8",24,"UNF","1A",0.3685,0.3739,0.3631
"3/8",24,"UNF","2A",0.3703,0.3739,0.3667
"3/8",24,"UNF","3A",0.3714,0.375,0.3678
"3/8",28,"UN","2A",0.37065,0.3739,0.3674
"3/8",28,"UN","3A",0.37175,0.375,0.3685
"3/8",32,"UNEF","2A",0.371,0.374,0.368
"3/8",32,"UNEF","3A",0.372,0.375,0.369
